ProjID,ProjUrl,UserUrl,Title,Category,Subcategory,Cancelled,Goal,Currency,Comments,Updates,Videos,Images,MainImgOrVid,Gif,startD,startM,startY,endD,endM,endY,StartDate,EndDate,Sum of Invests,Country,City,Backed,Created,Unsuccessful,Cancelled,Commented,FacebookFriends,WebsitesAmount,Age,Succeeded
11,1619246821/room-escape-vip,1619246821,ROOM ESCAPE VIP,games,live games,0,5491,EUR,0,1,1,2,0,0,24,12,2016,7,2,2017,42728,42773,5491,Ukraine,Kiev,0,1,1,0,0,174,4,54,1
12,904448565/donald-trump-kiss-leggings-inspired-by-hp-lovecraf,904448565,Donald Trump Kiss Leggings - Inspired by H.P. Lovecraft,fashion,apparel,0,449,USD,0,2,1,1,1,0,4,9,2015,6,4,2018,42251,43196,449,Ukraine,Odessa,6,1,0,0,0,0,1,53,1
13,clbayda/we-wish-you-a-merry-rockin-christmas,clbayda,We Wish You a Merry ROCKIN' Christmas,music,rock,0,8499,USD,1,11,1,1,1,0,12,4,2013,11,6,2013,41376,41436,8499,Ukraine,Lviv,2,1,0,0,0,1033,5,34,1
14,1961724545/gulcher-records-hat-trick,1961724545,Gulcher Records Hat Trick,music,rock,0,28098,USD,1,1,3,5,1,0,19,4,2015,26,11,2017,42113,43065,28098,Ukraine,Dnipro,1,2,0,0,0,0,1,25,1
15,291975465/bush-pilot,291975465,Bush Pilot (Suspended),technology,flight,1,158116,USD,0,0,0,1,1,0,16,1,2015,18,8,2017,42020,42965,157346,Ukraine,Donetsk,0,1,0,0,0,0,0,57,0
16,loftland/loftlands-new-album,loftland,Loftland's New Album!,music,pop,1,75981,USD,10,10,1,1,1,0,26,4,2012,26,5,2012,41025,41055,74034,Japan,Tokyo,0,1,0,0,0,0,3,57,0
17,1638041134/methuselah-speaks-records-0,1638041134,Methuselah Speaks Records,music,punk,0,1595,USD,0,0,0,1,1,0,9,6,2016,8,8,2016,42530,42590,1595,Japan,Tokyo,0,3,1,2,1,0,1,44,1
18,abandonedroute66/abandoned-route-66-a-view-into-times-long-gone,abandonedroute66,Abandoned Route 66 - a view into times long gone.,photography,photobooks,1,158898,USD,0,1,0,6,1,0,18,8,2018,17,10,2018,43330,43390,16030,Japan,Tokyo,1,1,1,0,0,0,1,54,0
19,1930149700/the-riddlers-lair,1930149700,The Riddlers Lair,games,live games,1,48598,GBP,0,0,0,1,1,0,27,4,2016,27,5,2016,42487,42517,46040,United Kingdom,LiverpoolÂ ,0,2,2,0,0,468,0,42,0
20,708883546/7ess,708883546,7ess,fashion,ready-to-wear,0,544,USD,0,2,0,2,1,0,12,9,2017,12,10,2017,42990,43020,544,United Kingdom,london,1,1,1,0,0,603,0,33,1
21,1446716750/junk-in-your-trunkstm,1446716750,JUNK IN YOUR TRUNKSג„¢,fashion,apparel,1,52620,USD,7,9,1,34,1,7,6,6,2018,27,6,2018,43257,43278,14675,United Kingdom,manchester,8,1,0,0,4,0,0,54,0
22,696738750/sea-change-clothing-co-change-looks-good-on-you,696738750,SEA Change Clothing Co. - Change Looks Good On You.,fashion,apparel,0,7349,CAD,6,12,1,13,1,0,18,3,2017,17,4,2017,42812,42842,7349,United Kingdom,glasgow,0,1,0,0,2,586,2,42,1
23,moonspike/moonspike-the-worlds-first-crowdfunded-moon-rocket,moonspike,Moonspike | We're Going Back to the Moon,technology,space exploration,0,248846,GBP,52,5,1,19,0,0,1,10,2015,4,5,2018,42278,43224,248846,United Kingdom,cardiff,1,1,1,0,1,0,1,30,1
24,517538872/flying-not-falling-new-age-music-gone-world,517538872,Flying Not Falling: New Age Music Gone World!,music,world music,0,128619,USD,1,8,3,12,0,0,30,5,2017,20,6,2017,42885,42906,128619,United Kingdom,London,4,3,1,0,0,4002,3,65,1
25,1076693599/the-first-live-performance-in-an-holographic-world,1076693599,"The first live""  performance in an Holographic world.""",theater,experimental,1,91062,EUR,0,0,2,0,0,0,13,8,2015,14,4,2018,42229,43204,90343,United Kingdom,London,0,1,1,0,0,916,1,49,0
26,1286216545/lets-get-needloves-records-spinning,1286216545,Let's Get NeedLove's Records Spinning!,music,rock,0,33317,USD,0,2,1,1,1,0,3,5,2016,2,6,2016,42493,42523,33317,United Kingdom,London,0,1,0,0,0,987,1,51,1
27,johnatmyhereafter/myhereafter-interactive-online-memorials,johnatmyhereafter,MyHereAfter interactive online memorials,design,interactive design,0,863,GBP,0,0,1,9,0,0,20,6,2019,19,8,2019,43636,43696,863,United Kingdom,Liverpool ,0,1,1,0,0,0,0,31,1
28,1807395639/elsie-digital-broadcasting,1807395639,Elsie Digital Broadcasting,journalism,audio,1,4703,USD,0,0,0,1,1,0,5,9,2014,5,10,2014,41887,41917,223,United Kingdom,london,0,1,1,0,0,644,2,25,0
29,2114765394/antimatter-fuel-production,2114765394,Antimatter Fuel Production,technology,space exploration,0,12222,USD,8,14,1,7,1,0,18,11,2016,2,12,2016,42692,42706,12222,United Kingdom,manchester,1,2,1,0,6,0,2,22,1
30,1353897535/alfie-and-gaston-the-dog-cafe,1353897535,Alfie & Gaston. The dog cafֳ©.,food,restaurants,1,44544,CAD,0,0,0,3,1,0,9,4,2018,8,6,2018,43199,43259,2735,United Kingdom,glasgow,0,1,1,0,0,0,0,27,0
31,filippodallasta/filippo-dallastas-debut-album-mediterrasian,filippodallasta,Filippo Dall'Asta's Debut Album - Mediterrasian,music,world music,0,25627,GBP,7,22,1,6,1,0,15,3,2018,14,4,2018,43174,43204,25627,United Kingdom,cardiff,2,1,0,0,4,0,1,26,1
32,thesweetremains/the-sweet-remains-record-their-sophomore-studio-al,thesweetremains,The Sweet Remains record their sophomore studio album!,music,rock,1,71722,USD,1,6,1,1,1,0,12,9,2012,12,10,2012,41164,41194,70448,United Kingdom,Liverpool ,0,1,0,0,0,0,2,59,0
33,768022427/foxyowl-the-cutest-steampunk-fabric-patches-and-qu,768022427,"FoxyOwl-The Cutest Steampunk fabric, patches & quilt charms",crafts,quilts,0,3000,USD,0,3,1,10,0,0,30,1,2017,1,3,2017,42765,42795,3000,United Kingdom,london,13,28,11,5,23,564,1,37,1
34,1689557873/a-slice-of-river,1689557873,A Slice of River,photography,photobooks,1,8052,GBP,2,3,0,2,1,0,23,3,2015,22,10,2017,42086,43030,46,United Kingdom,manchester,0,1,1,0,1,347,1,35,0
35,redeyehoodie/aviator-the-travel-t-shirt,redeyehoodie,AVIATOR | The Travel T-Shirt,fashion,apparel,0,9867,USD,155,9,1,17,1,0,5,4,2017,8,5,2017,42830,42863,9867,United Kingdom,London,22,10,0,1,239,0,4,33,1
36,215756405/uav-for-humanitarian-aid-and-environmental-researc,215756405,UAV for Humanitarian Aid and Environmental Research.,technology,flight,0,11749,USD,0,5,1,25,0,0,1,2,2015,13,9,2017,42036,42991,11749,United Kingdom,Liverpool ,6,4,3,0,11,0,6,54,1
37,celinemarchbank/tulip-my-mothers-favourite-flower-a-photo-book,celinemarchbank,"'Tulip, my mother's favourite flower' - A Photo Book.",photography,photobooks,0,23189,GBP,2,35,1,27,1,0,15,10,2015,16,5,2018,42292,43236,23189,United Kingdom,london,15,1,0,0,0,631,3,34,1
38,kimberley-stacey/tiska-london-authentically-british-nordic-inspired,kimberley-stacey,"TISKA London - Authentically British,Nordic Inspired Luxury",fashion,ready-to-wear,0,26940,GBP,1,10,1,23,1,0,28,6,2018,6,8,2018,43279,43318,26940,United Kingdom,manchester,2,1,0,0,0,419,3,62,1
39,gmarinoribotsky/exalt,gmarinoribotsky,EXALT,games,live games,0,1625,USD,0,7,0,1,1,0,3,4,2019,18,5,2019,43558,43603,1625,United Kingdom,glasgow,0,1,0,0,0,0,0,50,1
40,1103394043/create-an-album-together-with-us,1103394043,CREATE AN ALBUM TOGETHER WITH US!!!,music,pop,1,127671,SEK,0,0,1,1,1,0,21,6,2018,21,7,2018,43272,43302,47920,United Kingdom,cardiff,0,1,0,0,0,0,0,28,0
41,clevercatescapes/clever-cat-escapes,clevercatescapes,Clever Cat Escapes,games,live games,0,19741,EUR,0,3,1,4,0,0,13,10,2014,12,11,2014,41925,41955,19741,Greece,Rhodes,37,1,1,0,0,0,1,48,1
42,2030308471/alpacoz-alpaka-pullover,2030308471,Alpacoz - Alpaka Pullover,fashion,apparel,1,5702,EUR,0,1,1,1,1,0,19,11,2018,10,12,2018,43423,43444,1210,Greece,Patras,0,1,0,0,0,0,1,31,0
43,mont5/tailormade-customized-premier-leather-jackets,mont5,Tailor made. Customized. Premier Leather Jackets,fashion,apparel,0,53191,USD,61,13,2,53,1,0,27,10,2015,30,5,2018,42304,43250,53191,Greece,Heraklion,9,1,0,0,23,0,1,52,1
44,tonycerbo/a-michael-buble-dinner-show,tonycerbo,A Michael Buble' Dinner Show,music,pop,0,10467,USD,0,11,1,1,1,0,22,4,2015,2,11,2017,42116,43041,10467,Japan,Tokyo,0,3,1,1,1,546,3,44,1
45,1245051645/re-arm-for-ramps-simple-32-bit-upgrade,1245051645,"Re-ARM for RAMPS, simple 32-bit upgrade",technology,3d printing,0,3740,USD,245,7,1,5,1,0,10,11,2016,2,12,2016,42684,42706,3740,Japan,Tokyo,21,2,0,0,30,0,1,47,1
46,1705819570/louisiana-artist-residency-for-haitian-hero,1705819570,Louisiana Artist Residency for Haitian Hero,music,world music,1,7852,USD,0,1,0,1,1,0,24,8,2010,23,9,2010,40414,40444,6247,Sweden,Kista,1,3,1,1,1,0,3,65,0
47,1019197479/hollywood-here-i-go,1019197479,Hollywood... Here I GO!!!,music,pop,0,43031,USD,0,0,1,1,1,0,29,6,2017,20,7,2017,42915,42936,43031,Sweden,Gothenburg,0,1,0,0,0,0,4,64,1
48,combatmedallions/moas-medallion,combatmedallions,MoAS Medallion,games,live games,1,2087,USD,1,2,1,2,1,0,1,5,2014,30,5,2014,41760,41789,192,Sweden,Nacka,18,13,0,0,4,0,1,49,0
49,787055638/young-and-in-love-debut-album,787055638,"Young & In Love"" - Debut Album""",music,pop,0,87973,USD,4,9,1,1,1,0,5,4,2014,5,5,2014,41734,41764,87973,Sweden,Valdemarsvik,1,1,0,0,0,0,3,42,1
50,linde/glenntroms-a-psychedelic-drama,linde,Glennstrֳ¶m,theater,experimental,0,10946,SEK,0,0,0,1,1,0,5,3,2019,13,4,2019,43529,43568,10946,Sweden,Danderyd,0,1,0,0,0,841,0,29,1
51,950539582/american-travel,950539582,American travel (Canceled),photography,photobooks,0,1483,EUR,0,0,0,3,1,0,8,10,2015,2,11,2017,42285,43041,1483,Sweden,Vellinge,0,1,0,1,0,411,0,52,1
52,g2one-network/phootoo-a-photography-book,g2one-network,"PHOOTOO, A Photography Book",photography,photobooks,0,4739,CAD,0,0,0,8,1,0,24,3,2018,23,4,2018,43183,43213,4739,Turkey,Bursa,11,1,1,0,0,0,1,53,1
53,1465880926/coh2-grand-championship-series,1465880926,CoH2 Grand Championship Series,games,live games,0,670,GBP,6,1,1,10,1,0,7,3,2017,30,4,2017,42801,42855,670,Turkey,Antalya,0,1,0,0,1,0,1,48,1
54,ekp/the-invisible-giants,ekp,The Invisible Giants,photography,nature,1,2826,USD,1,0,0,1,1,0,22,4,2017,22,5,2017,42847,42877,246,Turkey,Ankara,0,1,1,0,0,0,2,51,0
55,idolmatsuri/idol-matsuri-phase-1-securing-the-venue-0,idolmatsuri,Idol Matsuri: Phase 1: Securing the venue!,music,world music,0,2205,USD,0,4,0,1,1,0,1,2,2015,19,8,2017,42036,42966,2205,Turkey,Ankara,10,3,0,2,0,0,3,29,1
56,712080384/cupcakesters,712080384,Cupcakesters,food,spaces,0,401,USD,0,0,0,1,1,0,16,5,2015,31,12,2017,42140,43100,401,Turkey,Ankara,0,1,1,0,0,0,1,35,1
57,774712790/the-indiana-sports-report,774712790,the Indiana Sports Report,journalism,web,0,485,USD,0,0,0,1,1,0,10,7,2014,24,8,2014,41830,41875,485,Turkey,Ankara,0,1,1,0,0,2282,3,44,1
58,void16-2/framing-the-world-photobook,void16-2,Framing the World - Photobook,photography,photobooks,0,1748,EUR,0,0,0,7,1,0,22,5,2018,21,6,2018,43242,43272,1748,Turkey,Ankara,0,1,1,0,0,0,1,44,1
59,261431757/tardis-the-edge-of-space-project-ii,261431757,TARDIS: The Edge of Space Project II,technology,space exploration,1,2017,GBP,0,21,1,2,1,0,31,10,2012,17,11,2012,41213,41230,469,Turkey,Ankara,18,2,0,0,4,33,1,37,0
60,658739378/leaf-peeping-foxy-new-t-shirt-with-charm,658739378,Leaf Peeping - foxy new t-shirt with charm!,fashion,apparel,0,6095,USD,10,22,0,9,1,0,3,12,2014,23,12,2014,41976,41996,6095,Sweden,Kista,9,3,0,0,7,0,3,56,1
61,maunderxv/deepcover-jacket-maunder-xv,maunderxv,Deepcover Jacket | Maunder XV,fashion,apparel,0,51435,GBP,9,6,1,70,1,3,16,10,2016,15,12,2016,42659,42719,51435,Sweden,Gothenburg,9,1,0,0,1,574,1,64,1
62,866872289/basic-t-shirts-made-in-holland-biological-and-fair,866872289,Basic T-shirts Made in Holland | Biological and Fair,fashion,ready-to-wear,0,1002,EUR,2,0,0,4,1,0,26,3,2018,25,4,2018,43185,43215,1002,Sweden,Nacka,0,4,4,0,0,0,2,38,1
63,673339478/homeschool-co-op-0,673339478,Homeschool Co-op,music,pop,0,11445,USD,3,5,3,1,1,0,28,2,2013,30,3,2013,41333,41363,11445,Sweden,Valdemarsvik,0,1,0,0,0,299,0,60,1
64,1118887554/masked-follow-the-rabbit,1118887554,Masked; Follow the Rabbit.,photography,photobooks,0,18058,AUD,3,59,0,1,1,0,1,9,2016,31,10,2016,42614,42674,18058,Sweden,Danderyd,0,1,0,0,1,246,3,65,1
65,2141186253/a-flower-in-the-mud,2141186253,A Flower In The Mud (Canceled),film & video,romance,1,29996,USD,0,0,1,1,0,0,20,6,2019,20,7,2019,43636,43666,26576,Sweden,Vellinge,1,1,0,1,0,0,4,50,0
66,1375707356/second-adolescence,1375707356,Second Adolescence,photography,photobooks,0,3550,GBP,2,1,0,1,1,0,23,1,2015,28,8,2017,42027,42975,3550,Turkey,Antalya,2,1,0,0,0,728,3,31,1
67,armata/3d-scanner-from-russia,armata,3D scanner,technology,3d printing,1,69730,USD,0,0,0,4,1,0,15,6,2015,14,2,2018,42170,43145,67631,Turkey,Antalya,0,1,1,0,0,0,0,63,0
68,1662509603/job-readiness-project-get-back-to-work,1662509603,Job Readiness Project - Get Back to Work,journalism,web,0,10000,USD,0,0,1,0,0,0,19,2,2015,21,9,2017,42054,42999,79,Turkey,Antalya,0,1,1,0,0,0,0,57,0
70,425184756/dcs-best-memories,425184756,D.C.'s  Best Memories (Canceled),photography,photobooks,0,287,USD,1,0,0,1,1,0,3,9,2014,18,10,2014,41885,41930,287,Turkey,Antalya,0,1,0,1,0,0,0,62,1
71,2018153576/late-september-dogs-presents-the-lsd-orchestra-pro,2018153576,Late September Dogs presents The LSD Orchestra Project,music,rock,0,91445,USD,3,10,2,8,1,0,17,4,2016,21,5,2016,42477,42511,91445,Turkey,Antalya,1,1,0,0,0,0,5,42,1
72,1454799740/anvil-the-true-user-friendly-3d-printer-for-everyo,1454799740,Anvil: the TRUE USER-FRIENDLY 3D printer for EVERYONE,technology,3d printing,0,29822,USD,792,28,5,41,1,2,10,5,2016,9,6,2016,42500,42530,29822,Turkey,Istanbul,0,1,0,0,153,137,1,18,1
73,infuseteabar/infuse-tea-bar,infuseteabar,INFUSE Tea Bar,food,spaces,0,9108,GBP,5,14,1,7,1,0,2,7,2017,27,7,2017,42918,42943,9108,Spain,madrid,6,1,0,0,2,0,4,30,1
74,duodelsol/duo-del-sols-first-ep,duodelsol,Dֳ÷o del Sol's first EP,music,world music,1,52087,USD,5,18,1,1,1,0,25,10,2011,9,12,2011,40841,40886,51038,Spain,Barcelona,10,2,0,0,4,1947,2,52,0
75,163247437/canaria-ep,163247437,Canaria EP,music,rock,1,11596,USD,2,3,4,2,1,0,28,2,2017,29,4,2017,42794,42854,6886,Spain,madrid,0,1,0,0,0,0,6,54,0
76,494113880/addictions-social-media-exposure,494113880,Addictions Social Media Exposure,journalism,web,1,3863,CAD,0,0,1,0,0,0,22,7,2014,21,8,2014,41842,41872,1021,Spain,Barcelona,0,1,1,0,0,0,0,52,0
77,594244505/music-africa-new-perspective-12-new-songs-x-clayto,594244505,"Music, Africa, New Perspective: 12 New Songs x Clayton Jones",music,pop,1,28137,USD,0,0,1,3,1,0,18,7,2017,17,8,2017,42934,42964,14681,Spain,madrid,1,1,0,0,0,4954,2,49,0
78,fhchickenanddonuts/farmhouse-chicken-and-donuts-relocation-and-renova,fhchickenanddonuts,FARMHOUSE CHICKEN & DONUTS RELOCATION AND RENOVATIONS,food,restaurants,0,1571,USD,0,1,1,13,0,0,24,4,2018,14,5,2018,43214,43234,1571,Spain,Barcelona,2,1,1,0,0,0,1,37,1
79,176591026/danza-vita-athleisure-wear-for-the-active-person,176591026,Danza Vita: Athleisure wear for the active person.,fashion,ready-to-wear,1,316433,USD,0,0,1,15,0,0,19,4,2016,18,6,2016,42479,42539,313836,Spain,Barcelona,0,1,1,0,0,4691,1,32,0
80,291479049/berlinergeist,291479049,berlinergeist,fashion,ready-to-wear,1,34098,EUR,0,0,1,0,0,0,22,6,2018,24,6,2018,43273,43275,5927,Spain,madrid,0,2,2,0,0,0,1,19,0
81,1561864205/light-on-nepal-christmas-party,1561864205,Light on Nepal Christmas Party,music,world music,0,70,GBP,0,1,0,1,1,0,8,12,2016,6,2,2017,42712,42772,70,Spain,Valencia,11,2,1,0,1,592,1,42,1
82,1335317842/enbiciados-equipacion-de-ciclismo-para-todos,1335317842,EnBiciados: ֲ¡equipaciֳ³n de ciclismo para todos!,fashion,apparel,0,876,EUR,4,0,0,1,1,0,7,3,2016,6,4,2016,42436,42466,876,Turkey,Istanbul,0,1,0,0,2,111,0,24,1
83,1290307719/lateledeinternet,1290307719,lateledeinternet,journalism,web,1,65032,EUR,0,5,2,0,0,0,11,6,2015,11,1,2018,42166,43111,660,Spain,madrid,0,1,1,0,0,0,5,36,0
84,westvirginia/natural-beauty-of-west-virginia,westvirginia,Natural Beauty of West Virginia,photography,nature,0,1653,USD,0,0,0,5,1,0,1,6,2017,1,7,2017,42887,42917,1653,Spain,Barcelona,0,1,1,0,0,234,0,53,1
85,236579306/foot-pool-canada-the-soccer-pool-game,236579306,Foot Pool Canada / The soccer pool game,games,live games,0,17897,CAD,0,0,0,1,1,0,3,12,2016,2,1,2017,42707,42737,17897,Spain,Barcelona,0,1,1,0,0,0,0,62,1
86,1736419955/the-search-for-meaning,1736419955,The Search For Meaning,food,restaurants,0,67967,USD,0,0,0,1,1,0,29,6,2015,13,2,2018,42184,43144,67967,Spain,madrid,0,1,1,0,0,1241,0,43,1
87,707365856/beauty-queens-and-broken-dreams-a-debut-album,707365856,Beauty Queens and Broken Dreams - A Debut Album,music,pop,0,8641,USD,0,9,1,3,1,0,4,6,2012,4,7,2012,41064,41094,8641,Spain,Valencia,4,1,0,0,0,0,4,25,1
88,immerseyourselves/immerse-yourselves-bahai-devotional-music,immerseyourselves,'IMMERSE YOURSELVES' Baha'i Devotional Music (Canceled),music,world music,0,75258,AUD,0,0,2,5,0,0,21,7,2014,20,8,2014,41841,41871,75258,Spain,Seville,4,2,0,1,1,333,5,43,1
89,1826992557/julia-boikova-clothing,1826992557,Julia Boikova clothing,fashion,ready-to-wear,0,25202,GBP,5,0,1,26,0,0,3,11,2014,3,12,2014,41946,41976,25202,Spain,Palma,1,1,1,0,2,0,3,52,1
90,2144992746/a-faster-ride-2nd-ep,2144992746,A Faster Ride 2nd EP,music,pop,0,12777,USD,1,0,1,1,1,0,18,5,2013,17,6,2013,41412,41442,12777,Spain,Barcelona,1,1,0,0,0,0,1,44,1
91,unwoman/unwoman-on-wax-cylinder,unwoman,Unwoman On Wax Cylinder,music,pop,0,4441,USD,2,2,2,1,1,0,12,10,2015,3,11,2018,42289,43407.34,4441,Netherlands,Breda,93,15,0,0,86,2278,6,29,1
92,jennandparker/eroix-underneathwear-underwear-only-better,jennandparker,"EROIX Underneathwear: Underwear, only better.",fashion,apparel,1,14184,USD,6,16,2,21,1,0,3,5,2016,2,6,2016,42493,42523,12044,Spain,Barcelona,25,1,0,0,1,408,5,57,0
93,1090042445/made-ready-four-on-the-floor-tour,1090042445,Made Ready Four on the Floor Tour,music,rock,0,280,USD,0,1,0,1,1,0,21,2,2015,21,3,2018,42056,43180.34,280,Spain,madrid,0,1,0,0,0,0,1,62,1
94,1446668741/on-tap-gastropub,1446668741,On Tap Gastropub,food,restaurants,0,159111,USD,0,0,0,1,1,0,24,3,2015,29,3,2018,42087,43188.34,159111,Spain,Barcelona,0,1,1,0,0,0,0,23,1
95,58703035/time-capsule-1987,58703035,time capsule 1987,theater,experimental,0,234,USD,0,0,0,1,1,0,17,7,2014,16,8,2014,41837,41867,234,Spain,madrid,2,3,3,0,1,295,0,22,1
96,1356812838/dead-tree-duos-first-full-length-album-lets-make-i,1356812838,Dead Tree Duo's first full length album! Let's make it!,music,rock,0,178449,USD,0,1,1,1,1,0,17,6,2013,3,7,2013,41442,41458,178449,Spain,Barcelona,9,1,0,0,0,967,4,50,1
97,1874589631/anaisa-single-release,1874589631,Anaisa Single Release,music,pop,0,492,GBP,0,0,0,1,1,0,13,8,2018,2,9,2018,43325,43345,492,Spain,madrid,0,1,1,0,0,0,2,23,1
98,823147708/3d-printer-electronic-kit-baboi-box,823147708,3D Printer Electronic Kit | Baboi Box (Canceled),technology,3d printing,0,24664,CAD,0,0,1,12,0,0,22,10,2013,21,11,2013,41569,41599,24664,Spain,Barcelona,11,2,0,1,29,0,1,43,1
99,519726203/alabaster-the-bible-beautiful,519726203,Alabaster - The Bible Beautiful,design,typography,0,75651,USD,28,24,1,16,1,0,7,9,2016,7,10,2016,42620,42650,75651,Spain,madrid,0,1,0,0,12,0,3,23,1
100,698563994/eat-the-evidence-album-pledge,698563994,ALBUM LAUNCH PARTY 3RD JUNE @ BONES AND PEARL STUDIOS,music,punk,0,1688,GBP,6,1,1,1,1,0,10,8,2016,9,9,2016,42592,42622,1688,Spain,Barcelona,0,1,0,0,1,0,1,50,1
101,murderthemood/murder-the-moods-debut-album,murderthemood,Murder The Mood's Debut Album,music,rock,1,2846,USD,0,5,1,1,1,0,22,11,2015,6,1,2016,42330,42375,1410,Spain,madrid,0,1,0,0,0,292,2,45,0
102,2147291413/pup-anchors,2147291413,P.U.P. Anchors,fashion,pet fashion,0,3295,USD,0,0,1,0,0,0,15,5,2015,12,6,2018,42139,43263.34,3295,Spain,Barcelona,0,1,1,0,0,0,1,27,1
103,1717714405/google-glass-shield,1717714405,Google Glass Shield (Canceled),technology,3d printing,1,7700,USD,0,1,1,3,0,0,5,5,2014,26,5,2014,41764,41785,1103,Spain,madrid,3,1,0,1,0,0,2,30,0
104,e3dbigbox/the-e3d-bigbox-3d-printer,e3dbigbox,BigBox: THE Open Source Hi-Spec Desktop 3D Printer!,technology,3d printing,1,191102,GBP,2002,36,4,58,1,0,17,7,2015,14,8,2018,42202,43326.34,47642,Spain,Barcelona,1,1,0,0,170,0,1,62,0
106,funktionbrand/funktionbrand,funktionbrand,FUNKTIONBRAND,fashion,ready-to-wear,0,90,USD,0,0,1,0,0,0,4,5,2015,1,6,2018,42128,43252.34,90,Spain,Barcelona,0,1,1,0,0,0,0,54,1
107,1938845349/fields-of-gold-for-violin-with-new-age-arrangement,1938845349,Fields of Gold -for violin with New Age arrangement-Video,music,world music,0,100,USD,0,0,2,1,0,0,1,10,2013,29,10,2013,41548,41576,100,Spain,madrid,0,1,1,0,0,775,2,28,1
108,1610184132/stendhal-the-green-tinted-napkin-ep,1610184132,Stendhal - The Green Tinted Napkin EP,music,punk,0,122622,MXN,0,0,0,5,1,0,30,1,2017,1,3,2017,42765,42795,122622,Spain,Valencia,0,1,1,0,0,961,1,36,1
109,1425200223/the-village-play-cafe-where-theres-always-a-play-d,1425200223,The Village Play Cafe - Where there's always a play date,food,spaces,0,15584,USD,0,0,1,0,0,0,4,4,2015,2,5,2018,42098,43222.34,15584,Spain,Seville,0,1,1,0,0,485,1,20,1
110,mdefeo/gearadelphia-the-apparel-company-for-philadelphia,mdefeo,Gearadelphia: The apparel company for Philadelphia,fashion,apparel,0,9982,USD,0,7,1,6,1,0,9,9,2014,9,10,2014,41891,41921,9982,Spain,Palma,47,1,0,0,0,706,4,33,1
111,622346540/squares-and-triangles-new-lp,622346540,Squares and Triangles' new LP,music,world music,1,12619,DKK,0,6,1,2,1,0,9,3,2017,8,4,2017,42803,42833,11523,Spain,Barcelona,0,2,1,0,0,0,4,18,0
112,2028227986/bocusini-worlds-first-plug-and-play-3d-food-printi,2028227986,Bocusini - World's first plug & play 3D Food Printing System,technology,3d printing,0,82433,EUR,73,22,3,27,1,0,12,5,2015,9,6,2018,42136,43260.34,82433,Spain,madrid,1,1,0,0,29,0,1,20,1
